case_file_name,text,defendants_str,num_defendants
13355-09-16,"חוק העונשין, תשל""ז-1977: סע' 29, 144(א), 144(ב), 340א, 499(א)(1)",0,3
13355-09-16,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע' 7.א., 7.ג",0,3
13355-09-16,מיני-רציו:,0,3
13355-09-16,"* בית המשפט אישר הסדר טיעון בעניינם של נאשמים שהורשעו בעבירות נשק ובעבירות נוספות, והטיל על כל אחד מהם מאסר בפועל, מאסר מותנה וקנס.",0,3
13355-09-16,* דיון פלילי – הסדר טיעון – אישורו,0,3
13355-09-16,* עונשין – ענישה – הסדר טיעון,0,3
13355-09-16,"הנאשמים הורשעו, במסגרת הסדר טיעון ""סגור"", בעבירות נשיאה והובלה של נשק ותחמושת, רכישה והחזקת נשק התחמושת וירי במקום מגורים. נאשמים 1 ו-3 הורשעו בנוסף, גם בקשירת קשר לפשע ונאשם 2 הורשע בנוסף בהחזקה ושימוש בסם מסוכן לצריכה עצמית.",123,3
13355-09-16,בית המשפט המחוזי אישר את ההסדר ופסק:,0,3
13355-09-16,"לאחר בחינת מתחם העונש ההולם, הערך המוגן שנפגע מביצוע העבירות, נסיבות ביצוען ומדיניות הענישה המחמירה בעבירות נשק, לצד השיקולים הנעוצים בנסיבות שאינן קשורות בביצוע העבירות, העונש המוסכם מצוי בתוך מתחם העונש ההולם ונותן ביטוי ראוי לכל השיקולים הנוגעים לקביעת העונש בתוך המתחם. לפיכך יש לאשר את ההסדר ובהתאם למוסכם לגזור על הנאשמים את העונשים הבאים: על הנאשמים 1 ו-3: 21 חודשי מאסר בפועל, שני מאסרים מותנים ועל הנאשם 3 מאסר מותנה נוסף, קנס בסך 7,500 ₪ או 90 ימי מאסר. על הנאשם מס' 2: 14 חודשי מאסר בפועל, שני מאסרים מותנים וקנס בסך 15,000 ₪ או 20 ימי מאסר.",123,3
13355-09-16,"הנאשמים הורשעו, על פי הודאתם ובמסגרת הסדר טיעון, בעבירות בנשק, שעניינן נשיאה והובלה של נשק ותחמושת, עבירות לפי סעיף 144(ב) רישא + סיפא + סעיף 29 לחוק העונשין, התשל""ז - 1977, (להלן: ""חוק העונשין""), רכישה והחזקת נשק התחמושת, עבירות לפי סעיף 144(א) רישא + סיפא + סעיף 29 לחוק העונשין, וירי במקום מגורים, עבירה לפי סעיף 340א לחוק העונשין.",123,3
13355-09-16,"נאשמים 1 ו-3 הורשעו בנוסף, גם בקשירת קשר לפשע, עבירה לפי סעיף 499(א)(1) לחוק העונשין, ואילו נאשם מס' 2 הורשע בנוסף, בהחזקה ושימוש בסם מסוכן לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) סיפא לפקודת הסמים המסוכנים (נוסח חדש), התשל""ג-1973.",13,3
13355-09-16,"לפי עובדות כתב האישום המתוקן (כא/1) בו הודו הנאשמים, כשנה וחצי עובר להגשת כתב האישום, רכש נאשם מס' 1 תת מקלע מאולתר מסוג ""קרל גוסטב"", החזיק אותו, וכן שתי מחסניות מלאות בכדורים, ללא רשות על פי דין להחזקתם, נשא והוביל אותם והסתירם באדמה הסמוכה לביתו.",123,3
13355-09-16,"כשנה עובר להגשת כתב האישום, ביקש הנאשם מס' 3 מהנאשם 1 נשק, כדי לירות בו במהלך חתונה של קרוב משפחתו. הנאשם 1 הציע לו את הרובה או אקדח שברשותו, ובסופו של דבר, העביר לו את האקדח, שבאמצעותו בוצע ירי במהלך החתונה והוא הוחזר לנאשם מס' 1.",13,3
13355-09-16,"הנאשם מס' 1 סיפר לנאשם מס' 3 בהמשך, כי מכר את האקדח תמורת סכום של 17,000 ₪.",13,3
13355-09-16,"בחודש מאי 2016, במסגרת סכסוך בין אחד מחבריהם של הנאשמים, מועתז אבו אדבה, לבין משפחת כנענה, הגיעו בני משפחת כנענה לביתו של מועתז. הנאשמים הגיעו אל ביתו של מועתז, כשהנאשם מס' 1 הביא עמו את הרובה, ולאחר דין ודברים עם משפחת כנענה, ירו מועתז והנאשם מס' 1 בנשק לאוויר, כדי להרחיק את בני משפחת כנענה.",1,3
13355-09-16,"בחודש יולי 2016, במהלך עיד אל פיטר, יצאו הנאשמים 1 ו-2 לחגיגות בעיר נצרת, כאשר נאשם מס' 1 נושא את הרובה ונאשם מס' 2 נושא עמו קופסת כדורי 9 מ""מ והשניים ירו באוויר ברובה.",12,3
13355-09-16,"בתחילת חודש אוגוסט 2016 ביקש הנאשם מס' 3 מהנאשם מס' 2 את הרובה שנמצא ברשותו של נאשם מס' 1, וזאת בשל סכסוך בינו ובין משפחת אלוש והנאשם מס' 2 הסכים לבקשתו זו. בשעת ערב יצא הנאשם מס' 2 לשטח הסמוך לביתו של נאשם מס' 1, (מקום בו החביא נאשם מס' 1 את הרובה וסיפר על כך לנאשם מס' 2), הוציא את הרובה והתחמושת ונשא אותם אל ביתו של נאשם מס' 3 והעבירם לידיו. נאשם מס' 3 הסתיר את הרובה והתחמושת בגג ביתו.",123,3
13355-09-16,"ביום 11/08/16, יום מעצרם של הנאשמים 1 ו-2 התקשר נאשם מס' 3 למועתז ואמר לו כי הוא מתכוון להסתיר את הרובה והתחמושת, כדי שהמשטרה לא תמצא אותם אצלו. בהמשך נשא נאשם מס' 3 את הרובה והתחמושת שהייתה ברשותו, נפגש עם מועתז, שהביא עמו שקית ובה 20 כדורי 9 מ""מ ומחסנית לאקדח, את כל אלה הסתירו באורווה בנצרת ולאחר מכן בשטח פתוח בין אכסאל לדבוריה, לא לפני שהנאשם מס' 3 הכניס מחסנית מלאה כדורים לרובה, דרך אותו וירה את כל הכדורים באוויר.",12,3
13355-09-16,"הודאות הנאשמים, במיוחס להם בכתב האישום המתוקן, באה, כאמור, בעקבות הסדר טיעון שהושג בין הצדדים, במסגרתו סוכמו גם רכיבי הענישה, תקופות המאסר בפועל והקנסות שיושתו על הנאשמים, לצד מאסר על תנאי, לשיקול דעת של בית המשפט.",123,3
13355-09-16,"טרם גזירת הדין ונוכח גילם של הנאשמים, הוזמנו תסקירי שירות המבחן בעניינם.",123,3
13355-09-16,"בעקבות קבלת התסקירים ובהמשך להסדר אליו הגיעו, עתרו הצדדים במשותף, לאמץ את ההסדר ולהשית על הנאשמים את העונשים כפי שסוכמו, כעונשים ראויים ומידתיים, המשקפים מחד את חומרת המעשים, ומנגד את הנתונים האישיים, עברם הנקי של הנאשמים, הודאתם, לקיחת האחריות, הפנמת החומרה וחרטתם על המעשים שביצעו.",123,3
13355-09-16,"כאמור, הצדדים הגיעו לידי הסדר, הכולל הסכמה גם באשר לעונשים שיוטלו על הנאשמים. בהקשר זה, נפסק על ידי בית המשפט העליון, כי על אף שבית המשפט איננו פטור מלבחון בעצמו את שיקולי הענישה במתווה תיקון 113 לחוק העונשין, גם כאשר מוצג בפניו הסדר טיעון, הרי שלא ימהר להתערב בעונש שהוסכם בין הצדדים, וזאת בשים לב להלכות שנקבעו בעבר באשר למידת ההתערבות בהסדרי טיעון, לאור שיקול הדעת הנתון למאשימה והחזקה כי היא פועלת במסגרת שיקול דעתה בהשגת ההסדר, תוך שכלול מלוא הנתונים הנדרשים. (ע""פ 3856/13 גוני נ. מדינת ישראל, [פורסם בנבו] (3.2.14) וע""פ 5845/14 אסט נ. מדינת ישראל [פורסם בנבו] (20/04/16)).",0,3
13355-09-16,"לאחר שבחנתי את מתחם העונש ההולם בעבירות שביצעו הנאשמים בנסיבותיהן, על יסוד העקרונות הרלבנטיים, קרי, הערך המוגן שנפגע מביצוע העבירות, הנסיבות שבהן בוצעו העבירות, (בפרט הרקע לעבירות הנשק והשימוש שנעשה בו), ומדיניות הענישה המחמירה בעבירות נשק, ולצד זאת השיקולים הנעוצים בנסיבות שאינן קשורות בביצוע העבירות, כמו גילאיהם של הנאשמים, נסיבות חייהם, התרשמות שירות המבחן, ממאפייני אישיותם, התנהלותם בשלב המעצר ומידת הצורך בהרתעתם, הודאתם בשלב מוקדם מאוד של ההליך, נטילת האחריות והחרטה, שוכנעתי כי העונש המוסכם מצוי בתוך מתחם העונש ההולם והוא נותן ביטוי ראוי לכל השיקולים הנוגעים לקביעת העונש בתוך המתחם.",123,3
13355-09-16,"לאור האמור, אני מקבלת את ההסדר אליו הגיעו הצדדים וגוזרת על הנאשמים את העונשים הבאים:",123,3
13355-09-16,"21 חודשי מאסר בפועל, שימנו מיום מעצרם. (נאשם 1 עצור מיום 11/08/16 ונאשם 3 עצור מיום 15/08/16).",123,3
13355-09-16,"12 חודשי מאסר על תנאי, והתנאי הוא שלא יעברו במהלך 3 שנים מהיום, עבירות בנשק מסוג פשע וירי באזור מגורים.",123,3
13355-09-16,"7 חודשי מאסר על תנאי, והתנאי הוא שלא יעברו במהלך 3 שנים מהיום, עבירות בנשק מסוג עוון.",123,3
13355-09-16,"ביחס לנאשם מס' 3 בלבד - 3 חודשי מאסר על תנאי, והתנאי הוא שלא יעבור במהלך 3 שנים מהיום, עבירה של החזקה או שימוש בסם לצריכה עצמית.",3,3
13355-09-16,"קנס בסך 7,500 ₪ או 90 ימי מאסר כנגדו, על כל אחד מן הנאשמים 1 ו-3.",123,3
13355-09-16,"הקנס ישולם ב-10 תשלומים חודשיים, שווים ורצופים, החל מיום 01/05/17 ובכל 1 לחודש שלאחריו, כאשר אי פירעון אחד התשלומים במועדו, יעמיד את מלוא הקנס לפירעון מידי.",123,3
13355-09-16,"14 חודשי מאסר בפועל, שימנו מיום מעצרו 11/08/16.",123,3
13355-09-16,"12 חודשי מאסר על תנאי והתנאי הוא שלא יעבור במהלך 3 שנים מהיום, עבירות בנשק מסוג פשע וירי באזור מגורים.",123,3
13355-09-16,7 חודשי מאסר על תנאי והתנאי הוא שלא יעברו במהלך 3 שנים עבירות בנשק מסוג עוון.,123,3
13355-09-16,"קנס בסך 15,000 ₪ או 20 ימי מאסר כנגדו.",123,3
13355-09-16,"הקנס ישולם ב-10 תשלומים חודשיים, שווים ורצופים, החל מיום 01/05/17 ובכל ראשון לחודש שלאחריו, כאשר אי פירעון אחד התשלומים במועדו, יעמיד את מלוא הקנס לפירעון מידי.",0,3
13355-09-16,הודעה זכות ערעור לבית המשפט העליון בתוך 45 יום מהיום.,0,3
13355-09-16,"ניתן והודע היום ג' שבט תשע""ז, 30/01/2017 במעמד הנוכחים.",0,3
13355-09-16,54678313הוקלד על ידי חנה טוריק,0,3
13355-09-16,"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",0,3
13355-09-16,אסתר הלמן 54678313-/,0,3
18316-01-09,"ת""פ 18316-01-09 מדינת ישראל נ' זבידאת(אסיר) ואח'",0,3
18316-01-09,"בשם הנאשמים 1 ו- 2: עו""ד מסרי מוחמד ועו""ד אבו יונס.",0,3
18316-01-09,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע' 1, 13, 19א', 36א, 36א(ד), 36ב, 37א, 37א(א)",0,3
18316-01-09,"חוק העונשין, תשל""ז-1977: סע' 25, 29, 32, 144(א), 144(ב2), 144(ג)(1), 144(ג)(3)",0,3
18316-01-09,"תקנות הסמים המסוכנים (סדרי דין לענין חילוט רכוש), תש""ן-1990: סע' 4(א), 4(ג)",0,3
18316-01-09,"תקנות הסמים המסוכנים, תש""ם-1979",0,3
18316-01-09,"חוק סדר הדין הפלילי [נוסח משולב], תשמ""ב-1982",0,3
18316-01-09,"בהמשך להודיית הנאשמים בעובדות כתב האישום המתוקן, הרשעתי אותם בעבירות המיוחסות להם, כמפורט להלן:",123,3
18316-01-09,"נאשם 1 – סחר בסמים מסוכנים, לפי סעיפים 13 + 19א' לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""פקודת הסמים המסוכנים"") + סעיף 29 לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין"") (2 עבירות); סחר בנשק, לפי סעיפים 144(ב2) + 144(ג)(3) + סעיף 29 לחוק העונשין (4 עבירות); החזקת נשק, לפי סעיפים 144(א) סיפא + 144(ג)(3) + סעיף 29 לחוק העונשין (4 עבירות); ניסיון לסחר בנשק, לפי סעיפים 144(ב2) + 144(ג)(1) + סעיף 25 + סעיף 29 לחוק העונשין.",1,3
18316-01-09,"נאשם 2 – סיוע לסחר בסמים מסוכנים, לפי סעיפים 13 + 19א' לפקודת הסמים המסוכנים + סעיף 32 לחוק העונשין (2 עבירות).",2,3
